Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
MONO,NA,MONO 2,MONO-0061,Forest,2018,5/7/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,,Cape May Warbler,Setophaga tigrina,950031,773818,CMWA,FALSE,FALSE,17.20000076,90.59999847,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
MONO,NA,MONO 2,MONO-0061,Forest,2018,5/7/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Cape May Warbler,Setophaga tigrina,950031,773818,CMWA,FALSE,FALSE,17.20000076,90.59999847,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
MONO,NA,MONO 2,MONO-0061,Forest,2018,5/7/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,17.20000076,90.59999847,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
MONO,NA,MONO 2,MONO-0061,Forest,2018,5/7/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,17.20000076,90.59999847,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Blackpoll Warbler,Setophaga striata,950041,773819,BLPW,FALSE,FALSE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
MONO,NA,MONO 1,MONO-0077,Forest,2018,5/8/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,FALSE,TRUE,15.19999981,77.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
